b,sigma_lat_m,delta_m,effective_delta_m,claim_kind,k,repetitions,false_certificate_applicable,false_lane_certificates,false_certificate_rate,wilson95_low,wilson95_high,conflicting_cooccupancy_runs,conflicting_cooccupancy_rate,conflicting_cooccupancy_wilson95_low,conflicting_cooccupancy_wilson95_high,gate_induced_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_runs,background_conflicting_cooccupancy_rate,prediction_support_coverage,mean_binomial_prediction,mean_binomial_prediction_available_runs,honest_lane_accepts_total,honest_lane_evaluations_total,pooled_q0_empirical,pooled_q1_empirical,mean_honest_lane_accepts,mean_h_lane,mean_b_sig,mean_b_sig_cert,mean_b_sig_attempt,b_sig_attempt_coverage,throughput_veh_per_s,throughput_veh_per_min,wait_mean_s,wait_p95_s,quiet_percent,singleton_quiet_percent,singleton_signed_unknown_percent,singleton_left_turn_forced_percent,mean_throughput_veh_per_s,mean_throughput_veh_per_min,mean_wait_s,p95_wait_s,wait_sample_count,mean_quiet_percent,mean_signed_unknown_singleton_percent,mean_left_table_forced_singleton_percent,mean_quiet_count,mean_signed_unknown_singleton_count,mean_left_table_forced_singleton_count,mean_batch_size
2,0.7,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9509157550886831,0.9509157550886831,176,254,0.6929133858267716,,8.8,12.7,1.5,1.5,1.5,1.0,0.4837803966304322,29.026823797825934,33.33625,42.6,0.0,0.0,0.0,43.75,0.4837803966304322,29.026823797825934,33.33625,42.6,320,0.0,0.0,43.75,0.0,0.0,7.0,1.2674825174825175
2,1.0,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9969926933845942,0.9969926933845942,215,249,0.8634538152610441,,10.75,12.45,1.5,1.5,1.5,1.0,0.4634901222998642,27.80940733799185,34.7609375,43.5,0.0,0.0,0.0,43.75,0.4634901222998642,27.80940733799185,34.7609375,43.5,320,0.0,0.0,43.75,0.0,0.0,7.0,1.2482517482517483
2,1.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9996465616818272,0.9996465616818272,197,202,0.9752475247524752,,9.85,10.1,1.1,1.1,1.1,1.0,0.4725807436647194,28.354844619883163,34.11875,43.025000000000006,0.0,0.0,0.0,43.75,0.4725807436647194,28.354844619883163,34.11875,43.025000000000006,320,0.0,0.0,43.75,0.0,0.0,7.0,1.3008491508491509
2,2.0,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.999732900304059,0.999732900304059,196,198,0.98989898989899,,9.8,9.9,1.15,1.15,1.15,1.0,0.4622366974992954,27.734201849957724,34.86,43.5,0.0,0.0,0.0,43.75,0.4622366974992954,27.734201849957724,34.86,43.5,320,0.0,0.0,43.75,0.0,0.0,7.0,1.2545843045843046
3,0.1,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,0.0,0.0,0,260,0.0,,0.0,13.0,0.0,0.0,3.0,1.0,0.6156352256634579,36.93811353980747,25.99125,35.0,6.25,6.25,0.0,43.75,0.6156352256634579,36.93811353980747,25.99125,35.0,320,6.25,0.0,43.75,1.0,0.0,7.0,1.1567099567099566
3,0.3,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,3.4347378632108923e-06,3.4347378632108923e-06,0,260,0.0,,0.0,13.0,0.0,0.0,3.0,1.0,0.6159520637687024,36.95712382612214,25.9784375,35.010000000000005,6.25,6.25,0.0,43.75,0.6159520637687024,36.95712382612214,25.9784375,35.010000000000005,320,6.25,0.0,43.75,1.0,0.0,7.0,1.1333241758241759
3,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.786165092784531,0.786165092784531,81,254,0.3188976377952756,,4.05,12.7,2.5,2.5,2.95,1.0,0.4852548324795265,29.11528994877159,33.5178125,43.4,0.9375,0.9375,0.0,43.75,0.4852548324795265,29.11528994877159,33.5178125,43.4,320,0.9375,0.0,43.75,0.15,0.0,7.0,1.2322427572427572
3,0.7,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9545814787331212,0.9545814787331212,155,223,0.695067264573991,,7.75,11.15,2.7,2.7,2.7,1.0,0.4561026935550051,27.366161613300306,35.2975,43.5,0.0,0.0,0.0,43.75,0.4561026935550051,27.366161613300306,35.2975,43.5,320,0.0,0.0,43.75,0.0,0.0,7.0,1.271346153846154
3,1.0,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9935375376014706,0.9935375376014706,173,200,0.865,,8.65,10.0,2.35,2.35,2.35,1.0,0.47610485381795725,28.566291229077436,33.86125,43.02,0.3125,0.3125,0.0,43.75,0.47610485381795725,28.566291229077436,33.86125,43.02,320,0.3125,0.0,43.75,0.05,0.0,7.0,1.2796328671328672
3,1.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9994477362987675,0.9994477362987675,136,139,0.9784172661870504,,6.8,6.95,2.0,2.0,2.0,1.0,0.4695905740382689,28.175434442296137,34.3328125,42.714999999999996,0.0,0.0,0.0,43.75,0.4695905740382689,28.175434442296137,34.3328125,42.714999999999996,320,0.0,0.0,43.75,0.0,0.0,7.0,1.3056526806526807
3,2.0,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,20,1.0,0.8388748419471806,1.0,20,1.0,0.8388748419471806,1.0,20,0,0.0,1.0,0.9966641042385629,0.9966641042385629,146,147,0.9931972789115646,,7.3,7.35,2.0,2.0,2.0,1.0,0.47384761401216463,28.430856840729877,34.02625,43.0,0.0,0.0,0.0,43.75,0.47384761401216463,28.430856840729877,34.02625,43.0,320,0.0,0.0,43.75,0.0,0.0,7.0,1.2786771561771562
4,0.1,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,0.0,0.0,0,240,0.0,,0.0,12.0,0.0,0.0,4.0,1.0,0.6160986730316851,36.96592038190111,25.9728125,34.715,6.25,6.25,0.0,43.75,0.6160986730316851,36.96592038190111,25.9728125,34.715,320,6.25,0.0,43.75,1.0,0.0,7.0,1.1551073926073925
4,0.3,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0,0.0,1.0,0.00034479757077340655,0.00034479757077340655,0,240,0.0,,0.0,12.0,0.0,0.0,4.0,1.0,0.6152660689039415,36.915964134236496,26.0075,35.2,6.25,6.25,0.0,43.75,0.6152660689039415,36.915964134236496,26.0075,35.2,320,6.25,0.0,43.75,1.0,0.0,7.0,1.153130203130203
4,0.5,1.75,1.75,FALSE_PHYSICAL_LANE,3.0,20,True,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,17,0,0.0,1.0,0.8948972426633895,0.8948972426633895,66,236,0.2796610169491525,,3.3,11.8,3.25,3.25,3.85,1.0,0.48846218195802427,29.307730917481454,33.2753125,43.02,0.9375,0.9375,0.0,43.75,0.48846218195802427,29.307730917481454,33.2753125,43.02,320,0.9375,0.0,43.75,0.15,0.0,7.0,1.2347652347652347
