sigma_m,N_to_N,N_to_S,N_to_E,N_to_W,S_to_N,S_to_S,S_to_E,S_to_W,E_to_N,E_to_S,E_to_E,E_to_W,W_to_N,W_to_S,W_to_E,W_to_W
0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0.25,0.999999999845,0,7.76884758171e-11,7.76884758171e-11,0,0.999999999845,7.76884758171e-11,7.76884758171e-11,7.76884758171e-11,7.76884758171e-11,0.999999999845,0,7.76884758171e-11,7.76884758171e-11,0,0.999999999845
0.5,0.998625724124,0,0.000687137937916,0.000687137937916,0,0.998625724124,0.000687137937916,0.000687137937916,0.000687137937916,0.000687137937916,0.998625724124,0,0.000687137937916,0.000687137937916,0,0.998625724124
1.0,0.890401416601,0,0.0547992916996,0.0547992916996,0,0.890401416601,0.0547992916996,0.0547992916996,0.0547992916996,0.0547992916996,0.890401416601,0,0.0547992916996,0.0547992916996,0,0.890401416601
2.0,0.576289202833,0,0.211855398583,0.211855398583,0,0.576289202833,0.211855398583,0.211855398583,0.211855398583,0.211855398583,0.576289202833,0,0.211855398583,0.211855398583,0,0.576289202833
