sigma_lat_m,k,delta_m,b,repetitions,analytic_q1,pooled_q1_empirical,q1_wilson95_low,q1_wilson95_high,honest_lane_accepts_total,honest_lane_evaluations_total,lane_certified_total,lane_certification_rate,lane_certification_wilson95_low,lane_certification_wilson95_high,quiet_vehicle_total,quiet_percent,signed_unknown_percent,throughput_veh_per_s,throughput_veh_per_min,wait_mean_s,wait_p95_s,wait_sample_count,mean_batch_size,background_conflicting_cooccupancy_runs,q1_model_inside_wilson,completion_metrics_complete,profile
0.5,1.0,0.0,0,20,0.6826894921370859,0.6864369821194941,0.6728581987303364,0.6997036893744795,3148,4586,320,1.0,0.9881378411686904,1.0,0,0.0,0.0,0.4613089603663151,27.678537621978904,34.9221875,43.6,320,1.2392832167832168,0,True,True,k-full
0.5,2.0,0.0,0,20,0.9544997361036416,0.9517335146159075,0.9450076202944526,0.9576736367014771,4200,4413,320,1.0,0.9881378411686904,1.0,0,0.0,0.0,0.4634685699062532,27.80811419437519,34.74625,43.6,320,1.255081585081585,0,True,True,k-full
0.5,3.0,0.0,0,20,0.9973002039367398,0.9972558884061286,0.9952093924986158,0.998429522896735,4361,4373,320,1.0,0.9881378411686904,1.0,0,0.0,0.0,0.46716597422448375,28.029958453469025,34.48875,43.12500000000001,320,1.2517773892773894,0,True,True,k-full
